transaction_id,customer_id,city,product_name,category,price,quantity,transaction_date,status
1001,C101,New York,Laptop,Electronics,1200.50,1,2023-10-01,completed
1002,C102,Los Angeles,Wireless Mouse,Electronics,25.99,2,2023-10-01,completed
1003,C103,Chicago,Coffee Maker,Home,75.00,1,2023-10-02,pending
1004,C104,New York,Running Shoes,Sports,110.00,1,2023-10-02,completed
1005,C101,New York,Headphones,Electronics,,1,2023-10-03,completed
1006,C105,San Francisco,Desk Chair,Furniture,200.00,1,2023-10-03,cancelled
1007,C106,Chicago,Blender,Home,45.50,-1,2023-10-04,completed
1008,C102,Los Angeles,Keyboard,Electronics,85.00,1,2023-10-04,completed
1009,C107,Houston,Monitor,Electronics,300.00,2,2023-10-04,
1010,C108,Miami,Water Bottle,Sports,15.00,3,2023-10-05,completed
1011,C109,Boston,Tablet,Electronics,450.00,1,2023-10-05,completed
1012,C110,Seattle,Office Desk,Furniture,320.00,1,2023-10-06,completed
1013,C111,Denver,Tennis Racket,Sports,89.99,2,2023-10-06,completed
1014,C112,Chicago,Microwave,Home,120.00,1,2023-10-06,pending
1015,C113,New York,Smartphone,Electronics,999.99,1,2023-10-07,completed
1016,C114,Los Angeles,Backpack,Accessories,60.00,2,2023-10-07,completed
1017,C115,Houston,Air Fryer,Home,150.00,1,2023-10-07,cancelled
1018,C116,Miami,Football,Sports,30.00,3,2023-10-08,completed
1019,C117,San Francisco,Monitor Stand,Furniture,80.00,1,2023-10-08,completed
1020,C118,Boston,Camera,Electronics,550.00,1,2023-10-08,
1021,C119,Seattle,Mouse Pad,Accessories,10.00,5,2023-10-09,completed
1022,C120,Denver,Vacuum Cleaner,Home,180.00,1,2023-10-09,completed
1023,C121,Chicago,Electric Kettle,Home,,1,2023-10-09,completed
1024,C122,New York,Gym Bag,Sports,70.00,1,2023-10-10,completed
1025,C123,Los Angeles,Smart Watch,Electronics,250.00,1,2023-10-10,completed
1026,C124,Houston,Bookshelf,Furniture,140.00,1,2023-10-10,completed
1027,C125,Miami,Yoga Mat,Sports,25.00,2,2023-10-11,completed
1028,C126,San Francisco,Lamp,Furniture,45.00,1,2023-10-11,pending
1029,C127,Boston,Printer,Electronics,200.00,1,2023-10-11,completed
1030,C128,Seattle,Chair Cushion,Furniture,35.00,2,2023-10-12,completed
1031,C129,Denver,Speakers,Electronics,150.00,1,2023-10-12,completed
1032,C130,Chicago,Toaster,Home,40.00,-2,2023-10-12,completed
1033,C131,New York,Router,Electronics,120.00,1,2023-10-13,completed
1034,C132,Los Angeles,Sunglasses,Accessories,45.00,2,2023-10-13,completed
1035,C133,Chicago,Juicer,Home,95.00,1,2023-10-13,pending
1036,C134,Houston,Treadmill,Sports,800.00,1,2023-10-14,completed
1037,C135,Miami,Desk Lamp,Furniture,35.00,2,2023-10-14,completed
1038,C136,San Francisco,External Hard Drive,Electronics,150.00,1,2023-10-14,completed
1039,C137,Boston,Notebook,Stationery,5.00,10,2023-10-15,completed
1040,C138,Seattle,Pen Set,Stationery,12.00,3,2023-10-15,completed
1041,C139,Denver,Hair Dryer,Home,60.00,1,2023-10-15,completed
1042,C140,Chicago,Smart TV,Electronics,1200.00,1,2023-10-16,completed
1043,C141,New York,Power Bank,Electronics,30.00,2,2023-10-16,completed
1044,C142,Los Angeles,Cap,Accessories,20.00,4,2023-10-16,completed
1045,C143,Houston,Dumbbells,Sports,90.00,2,2023-10-17,completed
1046,C144,Miami,Wall Clock,Home,25.00,1,2023-10-17,pending
1047,C145,San Francisco,Office Chair,Furniture,220.00,1,2023-10-17,completed
1048,C146,Boston,Tablet Cover,Accessories,18.00,2,2023-10-18,completed
1049,C147,Seattle,Gaming Mouse,Electronics,70.00,1,2023-10-18,completed
1050,C148,Denver,Water Filter,Home,130.00,1,2023-10-18,cancelled
1051,C149,Chicago,Cricket Bat,Sports,85.00,1,2023-10-19,completed
1052,C150,New York,Tripod,Electronics,55.00,1,2023-10-19,
1053,C151,Los Angeles,Wallet,Accessories,40.00,1,2023-10-19,completed
1054,C152,Houston,Sofa,Furniture,700.00,1,2023-10-20,completed
1055,C153,Miami,Electric Fan,Home,65.00,2,2023-10-20,completed
1056,C154,San Francisco,Camera Lens,Electronics,300.00,,2023-10-20,completed
1057,C155,Boston,Stapler,Stationery,8.00,3,2023-10-21,completed
1058,C156,Seattle,Monitor Arm,Furniture,110.00,1,2023-10-21,completed
1059,C157,Denver,Running Shorts,Sports,25.00,2,2023-10-21,completed
1060,C158,Chicago,Induction Cooktop,Home,220.00,1,2023-10-22,completed
1061,C159,New York,VR Headset,Electronics,500.00,1,2023-10-22,completed
1062,C160,Los Angeles,Bean Bag,Furniture,150.00,-1,2023-10-22,completed
1063,C161,Houston,Smart Bulb,Electronics,20.00,3,2023-10-23,completed
